price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage
989,limousine,1997,manuell,122,c_klasse,125000,benzin,mercedes_benz,nein
1500,kombi,2000,automatik,224,e_klasse,150000,diesel,mercedes_benz,nein
2899,bus,1994,manuell,77,transporter,150000,diesel,volkswagen,nein
8000,limousine,2008,manuell,122,1er,150000,benzin,bmw,nein
3950,kleinwagen,2007,manuell,60,golf,100000,benzin,ford,nein
4800,kombi,2006,manuell,102,octavia,125000,benzin,Other,nein
2490,cabrio,1993,manuell,115,golf,125000,benzin,volkswagen,nein
550,kleinwagen,2002,manuell,60,punto,150000,benzin,fiat,ja
1000,kleinwagen,1997,manuell,0,golf,100000,benzin,opel,nein
2999,limousine,2016,manuell,0,andere,150000,benzin,ford,nein
6290,kombi,2003,automatik,143,c_klasse,90000,benzin,mercedes_benz,nein
5395,kombi,2010,manuell,109,focus,150000,diesel,ford,nein
930,limousine,2016,manuell,110,golf,150000,benzin,Other,nein
4780,coupe,2000,manuell,118,3er,125000,benzin,bmw,nein
2500,limousine,2004,manuell,125,megane,150000,benzin,renault,nein
777,coupe,2001,manuell,147,astra,150000,benzin,opel,nein
1000,kombi,1993,manuell,0,golf,30000,benzin,Other,nein
1500,kombi,2001,manuell,60,polo,125000,benzin,volkswagen,nein
2250,kombi,1999,manuell,170,5er,150000,benzin,bmw,nein
1150,limousine,2003,manuell,0,kalos,150000,benzin,Other,nein
6315,kombi,1999,manuell,101,golf,150000,benzin,volkswagen,nein
1400,cabrio,1996,manuell,90,golf,150000,benzin,volkswagen,nein
6315,limousine,1998,manuell,0,golf,125000,benzin,Other,nein
500,kombi,1997,manuell,0,mondeo,150000,benzin,ford,nein
6500,kleinwagen,1987,manuell,6018,cooper,60000,benzin,Other,nein
4400,suv,2003,manuell,140,x_trail,150000,lpg,Other,nein
4000,limousine,2006,manuell,0,1er,150000,benzin,bmw,nein
800,limousine,1998,manuell,116,omega,150000,benzin,opel,nein
11700,cabrio,2006,manuell,170,cooper,50000,benzin,Other,nein
1450,kombi,2000,manuell,84,astra,150000,benzin,opel,nein
4850,kombi,2003,automatik,131,a4,90000,benzin,audi,nein
700,kombi,2001,automatik,0,golf,5000,benzin,audi,nein
2200,limousine,2016,manuell,75,golf,125000,benzin,volkswagen,nein
69900,coupe,2011,automatik,400,911,125000,benzin,Other,nein
3200,kombi,2006,manuell,85,focus,125000,benzin,ford,nein
6315,kleinwagen,2000,manuell,0,punto,90000,benzin,fiat,ja
3000,kombi,2004,automatik,150,c_klasse,150000,diesel,mercedes_benz,nein
1650,cabrio,1995,manuell,90,golf,150000,benzin,volkswagen,nein
1999,kombi,2001,manuell,116,bora,150000,benzin,volkswagen,nein
6315,kleinwagen,1996,manuell,55,clio,150000,benzin,renault,nein
11999,limousine,2003,automatik,0,7er,150000,diesel,bmw,nein
10500,kombi,2009,automatik,160,passat,100000,benzin,volkswagen,nein
3600,limousine,2005,manuell,105,astra,150000,benzin,opel,nein
800,kleinwagen,2000,manuell,54,corsa,150000,benzin,opel,nein
8500,cabrio,2001,manuell,231,3er,150000,benzin,bmw,nein
1250,kleinwagen,1999,manuell,105,3er,150000,benzin,bmw,nein
1000,kombi,2001,manuell,0,golf,150000,benzin,volkswagen,nein
2999,kleinwagen,1975,manuell,38,golf,50000,benzin,Other,nein
6390,kombi,2011,manuell,131,megane,150000,diesel,renault,nein
6500,kombi,2006,automatik,140,a4,125000,diesel,audi,nein
6315,limousine,1993,manuell,75,astra,90000,benzin,opel,nein
2000,limousine,2001,manuell,101,vectra,150000,diesel,opel,nein
1750,cabrio,1998,manuell,55,golf,150000,benzin,volkswagen,nein
1200,kleinwagen,1999,manuell,60,2_reihe,150000,benzin,peugeot,nein
550,limousine,1996,manuell,101,passat,150000,benzin,volkswagen,nein
1300,kleinwagen,1999,manuell,0,fortwo,150000,benzin,Other,nein
4500,bus,2006,automatik,140,touran,150000,diesel,volkswagen,nein
850,kombi,1999,manuell,160,v40,150000,benzin,Other,nein
7490,bus,2005,manuell,105,caddy,150000,diesel,volkswagen,nein
1600,kombi,1998,manuell,101,passat,150000,benzin,volkswagen,nein
3200,kleinwagen,2003,manuell,64,polo,100000,benzin,volkswagen,nein
990,andere,2000,manuell,60,punto,150000,benzin,fiat,nein
850,kleinwagen,1995,manuell,68,swift,90000,benzin,Other,nein
2200,limousine,1993,manuell,73,c_klasse,125000,diesel,mercedes_benz,nein
39950,limousine,2014,automatik,184,5er,60000,diesel,bmw,nein
750,kleinwagen,2000,manuell,45,fortwo,150000,benzin,Other,nein
6315,andere,1993,manuell,50,andere,100000,benzin,fiat,ja
5850,kombi,2008,manuell,86,fabia,70000,benzin,Other,nein
3499,coupe,2005,manuell,200,astra,150000,benzin,opel,nein
1400,limousine,1997,manuell,165,a6,150000,benzin,audi,nein
1600,coupe,2000,automatik,0,clk,150000,benzin,mercedes_benz,nein
35600,kombi,2015,automatik,177,andere,5000,diesel,mercedes_benz,nein
4333,limousine,2004,automatik,131,passat,150000,diesel,volkswagen,nein
4950,limousine,2006,manuell,116,1er,125000,benzin,bmw,nein
10800,limousine,2009,manuell,150,qashqai,125000,diesel,Other,nein
5990,limousine,2006,manuell,150,159,150000,diesel,Other,nein
5050,kombi,2002,automatik,155,a4,150000,diesel,audi,nein
10999,bus,2001,manuell,102,transporter,5000,diesel,volkswagen,nein
9700,limousine,2004,manuell,170,5er,150000,benzin,bmw,nein
13490,kleinwagen,2011,automatik,179,polo,60000,benzin,volkswagen,nein
800,limousine,1995,manuell,90,golf,150000,benzin,volkswagen,ja
550,coupe,1995,manuell,102,3er,150000,benzin,bmw,nein
3350,bus,2005,manuell,135,andere,150000,diesel,renault,nein
5900,kleinwagen,2007,manuell,60,corsa,40000,benzin,opel,nein
500,kleinwagen,2002,manuell,84,astra,150000,benzin,opel,nein
9200,limousine,2017,automatik,0,passat,150000,diesel,volkswagen,nein
650,kombi,1997,manuell,90,golf,150000,diesel,volkswagen,nein
7845,bus,2008,manuell,125,galaxy,150000,diesel,ford,nein
900,bus,1996,manuell,100,galaxy,150000,benzin,ford,nein
6315,kleinwagen,1998,manuell,50,andere,90000,benzin,fiat,nein
3690,cabrio,2006,manuell,131,megane,150000,diesel,renault,nein
750,kombi,2000,manuell,90,astra,150000,diesel,opel,nein
1500,suv,1972,manuell,0,kaefer,5000,benzin,volkswagen,nein
3000,kombi,2000,manuell,150,a4,150000,benzin,audi,nein
4200,kleinwagen,2008,automatik,45,fortwo,70000,diesel,Other,nein
4400,limousine,2002,automatik,163,c_klasse,150000,benzin,mercedes_benz,nein
4900,kleinwagen,2012,manuell,75,twingo,80000,benzin,renault,nein
7900,kombi,2008,manuell,140,octavia,150000,diesel,Other,nein
3500,bus,2008,manuell,109,caddy,150000,cng,volkswagen,nein
16490,kombi,2009,automatik,170,golf,90000,diesel,audi,nein
6315,kombi,1996,manuell,150,a4,150000,benzin,audi,ja
750,kleinwagen,1997,manuell,60,golf,150000,benzin,volkswagen,nein
2500,limousine,2014,automatik,136,1er,20000,benzin,bmw,nein
1000,limousine,2002,manuell,75,andere,125000,benzin,Other,nein
24999,limousine,2009,automatik,408,7er,100000,benzin,bmw,nein
5790,kombi,2007,manuell,140,octavia,125000,diesel,Other,nein
2879,kombi,1991,manuell,77,transporter,30000,diesel,volkswagen,nein
1099,kleinwagen,2000,manuell,0,corsa,150000,benzin,opel,nein
900,cabrio,2002,manuell,110,3_reihe,150000,benzin,peugeot,nein
4900,limousine,2004,manuell,105,leon,90000,benzin,seat,nein
2199,limousine,1998,manuell,150,passat,150000,benzin,volkswagen,nein
6000,limousine,2011,manuell,163,3er,150000,benzin,bmw,nein
2950,andere,1996,manuell,68,andere,150000,diesel,volkswagen,nein
6990,andere,2007,manuell,140,golf,125000,diesel,Other,nein
16000,kombi,2009,manuell,170,passat,40000,diesel,volkswagen,nein
1699,limousine,1999,manuell,75,golf,150000,benzin,volkswagen,nein
16500,suv,2008,automatik,306,m_klasse,150000,diesel,mercedes_benz,nein
1300,kleinwagen,1999,manuell,102,a_klasse,150000,benzin,mercedes_benz,ja
4200,limousine,2004,manuell,102,golf,150000,benzin,volkswagen,nein
3500,limousine,2005,automatik,125,astra,150000,benzin,opel,nein
2250,limousine,2002,manuell,0,ptcruiser,150000,benzin,Other,nein
1550,kleinwagen,2001,manuell,65,andere,150000,benzin,Other,nein
6315,limousine,1985,automatik,300,golf,150000,benzin,bmw,nein
2650,kleinwagen,2005,manuell,69,agila,150000,diesel,opel,nein
2400,coupe,1997,manuell,102,3er,150000,benzin,bmw,nein
900,kleinwagen,1997,manuell,60,polo,150000,benzin,volkswagen,nein
15599,cabrio,2007,manuell,200,tt,70000,benzin,audi,nein
2299,kleinwagen,2001,manuell,125,a_klasse,150000,benzin,mercedes_benz,nein
6315,suv,2007,automatik,180,m_klasse,150000,diesel,mercedes_benz,nein
9390,bus,2008,automatik,116,b_klasse,125000,benzin,mercedes_benz,nein
23760,suv,2012,automatik,179,tiguan,50000,benzin,volkswagen,nein
1666,limousine,1982,manuell,50,golf,30000,benzin,Other,nein
6315,kleinwagen,1996,manuell,0,polo,150000,benzin,volkswagen,nein
5800,limousine,2008,manuell,105,3_reihe,125000,benzin,Other,nein
32600,kleinwagen,2016,manuell,231,andere,5000,benzin,audi,nein
22550,coupe,2010,manuell,265,scirocco,125000,benzin,volkswagen,nein
2500,bus,1995,manuell,0,transporter,150000,diesel,volkswagen,nein
750,kleinwagen,1998,manuell,58,twingo,125000,benzin,renault,nein
4500,kombi,2000,manuell,102,transporter,150000,diesel,volkswagen,nein
3999,limousine,2005,manuell,105,astra,150000,lpg,opel,nein
6490,limousine,2004,automatik,239,e_klasse,150000,diesel,mercedes_benz,nein
15490,bus,2012,manuell,109,b_klasse,70000,diesel,mercedes_benz,nein
1500,kleinwagen,2000,manuell,102,a3,150000,benzin,audi,nein
13900,limousine,2009,automatik,235,5er,150000,diesel,bmw,nein
7999,kleinwagen,2009,manuell,122,golf,125000,benzin,volkswagen,nein
1700,limousine,1999,manuell,60,a_klasse,150000,diesel,mercedes_benz,nein
3490,kleinwagen,2009,manuell,68,c1,90000,benzin,Other,nein
5400,limousine,2003,manuell,163,c_klasse,150000,benzin,mercedes_benz,nein
6315,andere,2001,manuell,109,ducato,30000,cng,fiat,nein
1750,kleinwagen,2003,manuell,69,corsa,150000,diesel,opel,ja
4800,cabrio,2007,manuell,135,megane,150000,benzin,renault,nein
8999,limousine,2017,manuell,101,astra,50000,benzin,opel,nein
1550,kleinwagen,2001,manuell,45,fortwo,125000,benzin,Other,nein
1200,kombi,1999,manuell,118,3er,150000,benzin,bmw,nein
13900,kombi,2009,automatik,160,a3,80000,benzin,audi,nein
13490,bus,2012,manuell,105,altea,50000,benzin,seat,nein
1800,limousine,2005,manuell,193,5er,150000,benzin,bmw,nein
21490,limousine,2011,automatik,204,x_reihe,90000,diesel,bmw,nein
7799,limousine,2008,manuell,105,golf,125000,diesel,volkswagen,nein
14500,suv,2003,automatik,340,cayenne,20000,lpg,Other,nein
6250,kombi,1999,manuell,286,5er,150000,benzin,bmw,nein
600,kleinwagen,1989,manuell,54,golf,150000,benzin,volkswagen,nein
3500,bus,2005,manuell,90,meriva,150000,benzin,opel,nein
500,limousine,1996,manuell,90,golf,150000,benzin,audi,nein
1750,kombi,1999,manuell,0,5er,150000,diesel,bmw,nein
700,limousine,2017,manuell,125,mondeo,150000,benzin,ford,ja
5850,kombi,2010,manuell,109,focus,150000,diesel,ford,nein
4500,bus,2005,manuell,102,caddy,150000,benzin,volkswagen,nein
750,kombi,1992,manuell,90,passat,150000,benzin,volkswagen,ja
7990,kleinwagen,2009,manuell,86,ibiza,30000,benzin,seat,nein
2999,kleinwagen,2009,manuell,65,picanto,70000,benzin,Other,nein
1500,limousine,1994,manuell,75,golf,150000,benzin,volkswagen,nein
6500,limousine,2003,manuell,129,avensis,60000,benzin,Other,nein
949,cabrio,1998,manuell,101,golf,150000,benzin,volkswagen,nein
6315,bus,2004,manuell,115,touran,150000,benzin,volkswagen,nein
5900,limousine,2007,manuell,102,a3,125000,benzin,audi,nein
2490,kombi,2005,manuell,101,fabia,150000,diesel,Other,nein
28990,suv,2011,automatik,340,q7,150000,diesel,audi,nein
999,kombi,1999,manuell,75,focus,150000,benzin,ford,nein
4700,bus,2005,automatik,150,voyager,150000,diesel,Other,nein
3200,bus,2004,automatik,116,modus,150000,benzin,renault,nein
4899,limousine,2003,manuell,211,vectra,150000,benzin,opel,nein
1000,limousine,2016,manuell,0,megane,150000,benzin,renault,nein
6000,kombi,2009,manuell,163,3er,150000,diesel,bmw,nein
12000,bus,2012,manuell,131,andere,150000,diesel,opel,nein
2000,kleinwagen,2006,manuell,67,getz,150000,benzin,Other,nein
8900,kombi,2007,automatik,131,mondeo,150000,diesel,ford,nein
6190,limousine,2004,automatik,163,c_klasse,150000,benzin,mercedes_benz,nein
7200,limousine,2007,automatik,170,golf,150000,benzin,volkswagen,nein
5900,kombi,2006,automatik,232,andere,150000,diesel,audi,nein
11200,suv,2008,automatik,155,santa,150000,diesel,Other,nein
6999,kleinwagen,2009,manuell,86,fabia,80000,benzin,Other,nein
999,limousine,1992,manuell,85,andere,70000,benzin,volkswagen,nein
8200,limousine,2007,automatik,218,300c,150000,diesel,Other,nein
6315,kombi,2004,automatik,170,3er,150000,benzin,bmw,nein
6900,limousine,2009,manuell,122,1er,150000,benzin,bmw,nein
6315,coupe,1998,manuell,75,astra,150000,benzin,opel,ja
26900,kombi,2012,automatik,184,3er,30000,benzin,bmw,nein
2800,limousine,2017,manuell,115,golf,150000,benzin,volkswagen,nein
3500,cabrio,2002,manuell,125,astra,150000,benzin,opel,nein
6315,limousine,1990,manuell,0,golf,5000,benzin,volkswagen,nein
4990,limousine,2017,manuell,192,3er,150000,benzin,bmw,nein
6315,limousine,2000,manuell,45,corsa,150000,benzin,opel,nein
1100,kombi,1997,manuell,75,astra,150000,benzin,opel,nein
5500,kombi,2007,automatik,150,vectra,150000,diesel,opel,nein
7900,limousine,2004,automatik,218,5er,150000,diesel,bmw,nein
600,kombi,1999,manuell,116,focus,150000,benzin,ford,ja
4400,kombi,2011,manuell,105,golf,125000,diesel,volkswagen,ja
1999,limousine,2003,manuell,101,focus,150000,diesel,ford,nein
2900,coupe,2004,manuell,147,andere,150000,benzin,Other,ja
1999,kombi,2003,automatik,163,a6,150000,diesel,audi,nein
1800,bus,1999,manuell,132,andere,150000,benzin,Other,nein
4000,suv,2006,manuell,140,sorento,150000,diesel,Other,nein
1700,limousine,2017,manuell,75,polo,125000,benzin,volkswagen,nein
6490,bus,2006,manuell,140,alhambra,150000,diesel,seat,nein
1850,limousine,2017,manuell,0,golf,150000,diesel,fiat,nein
2799,kombi,2001,manuell,150,passat,150000,benzin,volkswagen,nein
13000,suv,2005,automatik,218,x_reihe,150000,diesel,bmw,nein
3300,bus,2007,manuell,75,caddy,150000,diesel,volkswagen,nein
5000,limousine,2016,manuell,245,5er,150000,benzin,bmw,nein
8699,cabrio,2007,manuell,145,focus,80000,benzin,ford,nein
750,kombi,2001,manuell,0,focus,150000,diesel,ford,nein
1350,kleinwagen,2004,manuell,60,ka,125000,benzin,ford,nein
10300,kombi,2008,automatik,143,a4,150000,diesel,audi,nein
9990,limousine,2012,automatik,163,andere,60000,diesel,Other,nein
1500,kleinwagen,1996,manuell,50,1_reihe,125000,benzin,Other,nein
1250,cabrio,1995,manuell,50,swift,50000,benzin,Other,nein
6315,kleinwagen,2001,manuell,0,corsa,20000,benzin,opel,ja
2749,cabrio,2003,automatik,61,fortwo,150000,benzin,Other,nein
10999,bus,2013,manuell,90,i_reihe,30000,benzin,Other,nein
800,limousine,1993,manuell,133,80,150000,benzin,audi,ja
4500,limousine,2007,manuell,150,3_reihe,150000,benzin,peugeot,nein
2000,kombi,2003,manuell,140,156,150000,diesel,Other,nein
22300,bus,2014,manuell,140,touran,20000,diesel,volkswagen,nein
2650,kleinwagen,2003,manuell,65,micra,125000,diesel,Other,nein
2999,kleinwagen,2009,manuell,67,i_reihe,80000,benzin,Other,nein
17199,limousine,2016,manuell,140,golf,40000,benzin,volkswagen,nein
6300,limousine,2008,manuell,105,3er,150000,diesel,bmw,ja
5499,cabrio,2003,manuell,163,slk,125000,benzin,mercedes_benz,nein
3100,coupe,2002,manuell,75,astra,125000,lpg,opel,nein
6315,kleinwagen,1997,manuell,0,corsa,150000,benzin,opel,nein
4444,limousine,1998,manuell,125,e_klasse,125000,diesel,mercedes_benz,nein
6315,limousine,2016,manuell,150,passat,150000,benzin,volkswagen,ja
600,kleinwagen,1999,manuell,54,corsa,150000,benzin,opel,nein
2400,andere,1973,manuell,80,andere,40000,benzin,opel,nein
10990,kombi,2009,manuell,105,caddy,100000,diesel,volkswagen,nein
2000,bus,2006,manuell,0,meriva,20000,diesel,opel,ja
10500,cabrio,2002,automatik,231,3er,150000,benzin,bmw,nein
2999,kleinwagen,2000,manuell,75,a2,150000,benzin,audi,nein
12500,bus,2006,manuell,130,transporter,40000,benzin,volkswagen,nein
600,limousine,1995,manuell,114,laguna,150000,benzin,renault,nein
1999,kleinwagen,2008,manuell,69,punto,90000,diesel,fiat,nein
6315,coupe,1995,automatik,102,3er,150000,benzin,bmw,nein
1500,bus,2000,manuell,0,zafira,150000,benzin,opel,nein
39500,bus,1967,manuell,50,transporter,80000,benzin,volkswagen,nein
6315,coupe,1994,manuell,102,golf,150000,benzin,bmw,nein
11500,limousine,2011,automatik,184,5er,125000,diesel,bmw,nein
7200,bus,1985,manuell,90,transporter,150000,benzin,volkswagen,nein
2000,kombi,2004,manuell,136,3_reihe,150000,diesel,peugeot,nein
2850,limousine,2003,manuell,116,primera,80000,benzin,Other,nein
6499,limousine,2001,automatik,197,s_klasse,150000,diesel,mercedes_benz,nein
7500,kleinwagen,2010,manuell,86,polo,70000,benzin,volkswagen,nein
500,kombi,2004,manuell,175,156,150000,diesel,Other,ja
5200,kleinwagen,2009,manuell,68,andere,80000,diesel,Other,nein
3399,limousine,2017,manuell,115,primera,70000,benzin,Other,nein
6315,kleinwagen,2003,manuell,59,cuore,125000,benzin,Other,nein
10900,limousine,2008,automatik,163,e_klasse,150000,cng,mercedes_benz,nein
1400,kombi,2000,manuell,179,a6,150000,diesel,audi,ja
8500,cabrio,1996,manuell,145,golf,20000,benzin,Other,nein
2900,limousine,2000,automatik,125,a_klasse,150000,benzin,mercedes_benz,nein
6000,kleinwagen,2013,manuell,71,andere,30000,benzin,Other,nein
6000,andere,2007,manuell,160,ducato,150000,diesel,fiat,ja
6315,kleinwagen,2001,manuell,50,fiesta,150000,benzin,ford,nein
1950,limousine,1989,manuell,83,3er,150000,benzin,bmw,ja
900,kombi,2002,automatik,155,a6,150000,diesel,audi,ja
19500,coupe,2014,manuell,179,golf,30000,benzin,Other,nein
5500,kleinwagen,2008,manuell,80,polo,125000,benzin,volkswagen,nein
3500,limousine,2005,manuell,90,golf,150000,diesel,volkswagen,nein
1490,kleinwagen,2001,manuell,68,yaris,150000,benzin,Other,nein
750,kleinwagen,1999,manuell,75,fiesta,125000,benzin,ford,nein
1049,kleinwagen,2003,manuell,75,andere,150000,benzin,peugeot,ja
2650,limousine,2001,manuell,163,5er,150000,diesel,bmw,nein
4090,limousine,2005,manuell,109,focus,125000,diesel,ford,nein
6315,limousine,2000,manuell,0,megane,150000,benzin,renault,nein
4990,cabrio,2007,automatik,71,fortwo,90000,benzin,Other,nein
15500,coupe,1963,manuell,110,andere,100000,benzin,Other,nein
6315,limousine,1990,manuell,107,golf,150000,benzin,volkswagen,ja
27099,bus,2014,manuell,136,vito,50000,diesel,mercedes_benz,nein
2450,kleinwagen,2004,manuell,75,forfour,150000,benzin,Other,ja
1799,limousine,2000,manuell,125,a_klasse,150000,benzin,mercedes_benz,nein
4100,limousine,2016,manuell,122,c_klasse,150000,benzin,mercedes_benz,ja
2499,bus,2003,manuell,107,scenic,150000,benzin,renault,nein
4299,suv,2004,manuell,124,andere,150000,benzin,Other,nein
2200,limousine,2003,manuell,75,golf,80000,benzin,volkswagen,ja
3990,kleinwagen,2014,manuell,60,citigo,10000,benzin,Other,ja
2500,kleinwagen,2001,manuell,58,corsa,125000,benzin,opel,nein
799,cabrio,1995,manuell,150,3er,150000,benzin,bmw,ja
3799,limousine,2009,manuell,60,c2,60000,benzin,Other,nein
5600,kleinwagen,2012,manuell,61,fortwo,40000,benzin,Other,nein
500,kleinwagen,1997,manuell,60,ibiza,150000,benzin,seat,nein
2950,cabrio,2002,manuell,54,fortwo,80000,benzin,Other,nein
3800,kombi,2000,manuell,90,golf,150000,diesel,volkswagen,nein
70850,coupe,2011,manuell,330,andere,30000,benzin,Other,nein
6950,limousine,2006,manuell,102,a3,150000,benzin,audi,nein
500,limousine,1995,manuell,90,primera,150000,benzin,Other,nein
1300,cabrio,1995,manuell,75,golf,150000,benzin,volkswagen,nein
6990,kleinwagen,2009,automatik,101,yaris,80000,benzin,Other,nein
7900,limousine,2009,manuell,110,golf,150000,diesel,volkswagen,nein
1850,kleinwagen,2002,manuell,75,corsa,100000,diesel,opel,nein
500,kombi,1997,automatik,194,golf,150000,benzin,bmw,nein
4800,suv,2002,manuell,116,rav,150000,diesel,Other,nein
7450,kleinwagen,2011,manuell,60,polo,50000,benzin,volkswagen,nein
6250,bus,2005,manuell,116,b_klasse,125000,benzin,mercedes_benz,nein
2100,suv,1995,manuell,110,andere,150000,benzin,Other,nein
900,kleinwagen,1995,manuell,75,golf,150000,benzin,volkswagen,nein
25999,limousine,2015,manuell,150,passat,30000,diesel,volkswagen,nein
7485,kleinwagen,2008,automatik,80,polo,30000,benzin,volkswagen,nein
7450,bus,2008,manuell,105,caddy,150000,diesel,volkswagen,nein
2100,limousine,2001,manuell,60,a_klasse,150000,benzin,mercedes_benz,nein
2500,limousine,1998,manuell,170,5er,150000,benzin,bmw,nein
500,limousine,1994,manuell,125,a4,125000,benzin,audi,ja
4399,coupe,2000,manuell,197,clk,150000,benzin,mercedes_benz,nein
6315,kleinwagen,2001,manuell,60,fiesta,150000,benzin,ford,nein
19100,coupe,2009,manuell,170,tt,90000,diesel,audi,nein
1699,kleinwagen,1999,manuell,75,golf,125000,benzin,volkswagen,nein
10500,kombi,2008,automatik,197,3er,150000,diesel,bmw,nein
7490,suv,2006,manuell,141,tucson,80000,benzin,Other,nein
4400,limousine,2009,automatik,136,e_klasse,150000,diesel,mercedes_benz,nein
8700,kombi,2010,automatik,105,golf,150000,diesel,volkswagen,nein
3850,limousine,2004,manuell,143,3er,150000,benzin,bmw,nein
2500,limousine,2003,manuell,97,corolla,150000,benzin,Other,nein
5500,coupe,1999,manuell,180,tt,150000,benzin,audi,nein
3650,kombi,2007,manuell,105,caddy,150000,diesel,volkswagen,ja
14900,limousine,2006,automatik,387,s_klasse,150000,benzin,mercedes_benz,nein
2900,kleinwagen,2003,manuell,0,fusion,100000,benzin,ford,nein
6990,bus,2006,manuell,136,andere,125000,diesel,peugeot,nein
2990,limousine,2001,automatik,150,147,125000,benzin,Other,nein
1900,limousine,2016,manuell,60,polo,150000,benzin,volkswagen,nein
500,kleinwagen,1998,manuell,69,andere,150000,benzin,Other,nein
1800,limousine,2002,automatik,146,vectra,150000,benzin,opel,nein
2200,coupe,2005,automatik,50,fortwo,125000,benzin,Other,nein
6315,kleinwagen,2012,manuell,75,clio,60000,benzin,renault,nein
