,index,dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
216137,216137,2016-03-15 14:41:01,Peugeot_207_CC_120_VTi,privat,Angebot,10299,control,cabrio,2012,manuell,120,2_reihe,50000,5,benzin,peugeot,nein,2016-03-15 00:00:00,0,14469,2016-04-06 03:46:28
337938,337938,2016-03-08 18:53:35,Ford_Focus_Finesse,privat,Angebot,2790,test,limousine,2002,manuell,101,focus,150000,4,benzin,ford,nein,2016-03-08 00:00:00,0,35216,2016-04-07 14:56:27
62509,62509,2016-03-25 16:47:47,BMW_e36_316i___Unfallfahrzeug_,privat,Angebot,600,control,limousine,1996,manuell,102,3er,150000,5,benzin,bmw,ja,2016-03-25 00:00:00,0,59067,2016-03-30 07:16:55
356328,356328,2016-03-27 16:48:18,Avantgarde__Automatik__Leder_Schwarz__Navi_Gross__Xenon,privat,Angebot,7200,test,limousine,2004,automatik,177,e_klasse,150000,10,diesel,mercedes_benz,nein,2016-03-27 00:00:00,0,82205,2016-03-28 10:52:50
51129,51129,2016-03-23 19:38:40,Volkswagen_Golf_1.8_Syncro,privat,Angebot,1300,control,limousine,1996,manuell,90,golf,150000,8,benzin,volkswagen,nein,2016-03-23 00:00:00,0,73642,2016-03-29 14:47:10
159737,159737,2016-03-10 20:42:59,Hyundai_Galloper_TÜV_2018,privat,Angebot,2749,test,suv,1999,manuell,0,andere,150000,7,diesel,hyundai,nein,2016-03-10 00:00:00,0,30459,2016-04-02 08:46:38
88322,88322,2016-03-12 11:53:56,BMW_318,privat,Angebot,899,test,limousine,1998,manuell,0,3er,150000,6,benzin,bmw,nein,2016-03-12 00:00:00,0,27576,2016-03-13 03:15:56
41737,41737,2016-03-23 17:55:08,Opel_Kadett_E_16V,privat,Angebot,12200,control,limousine,1991,manuell,150,kadett,100000,3,benzin,opel,nein,2016-03-23 00:00:00,0,71111,2016-04-05 22:18:01
330204,330204,2016-03-11 13:52:50,Audi_A3_1_8T_quattro,privat,Angebot,3500,test,limousine,2017,manuell,210,a3,150000,11,benzin,audi,nein,2016-03-11 00:00:00,0,2730,2016-03-23 10:18:09
228088,228088,2016-03-19 09:51:19,Volkswagen_Passat_cc,privat,Angebot,14490,test,limousine,2009,automatik,174,cc,150000,8,diesel,volkswagen,nein,2016-03-19 00:00:00,0,80933,2016-03-20 11:19:42
284091,284091,2016-04-02 11:52:57,C4_Scheckheft_gepflegt_8Fach_bereift,privat,Angebot,5200,test,limousine,2009,manuell,120,c4,125000,8,benzin,citroen,nein,2016-04-02 00:00:00,0,47239,2016-04-06 10:17:39
184236,184236,2016-03-12 08:53:50,Ford_Focus_Turnier_1.6_DTCi_HU_bis_02/18_GETRiEBESCHADEN,privat,Angebot,1500,control,kombi,2005,automatik,0,focus,150000,10,benzin,ford,ja,2016-03-12 00:00:00,0,13357,2016-03-12 23:45:18
111262,111262,2016-03-26 19:40:59,VW_Golf_Cabrio_1_8_Tuev_10/2017_Top_Zustand_!!!,privat,Angebot,1150,control,cabrio,1996,manuell,90,golf,150000,3,benzin,volkswagen,nein,2016-03-26 00:00:00,0,81379,2016-04-02 11:18:36
233609,233609,2016-03-24 17:38:03,Fiat_Punto_sehr_gepflegt__Anfaengerauto,privat,Angebot,2000,control,kleinwagen,2003,manuell,80,punto,125000,6,benzin,fiat,nein,2016-03-24 00:00:00,0,84371,2016-03-26 02:18:26
138739,138739,2016-04-04 17:51:36,BMW_318d_M_Sportpaket__Xenon__Alcantara_Leder,privat,Angebot,15200,test,limousine,2011,manuell,143,3er,100000,2,diesel,bmw,nein,2016-04-04 00:00:00,0,82340,2016-04-06 19:48:11
121480,121480,2016-03-09 21:38:58,Alfa_Romeo_Spider_2.4_JTDM_20V_DPF,privat,Angebot,7500,test,cabrio,2008,manuell,200,spider,150000,8,diesel,alfa_romeo,nein,2016-03-09 00:00:00,0,45470,2016-03-18 03:46:04
366227,366227,2016-03-08 23:57:25,Opel_Omega_2.2_16_V_Elegance,privat,Angebot,700,control,limousine,2000,manuell,144,omega,150000,3,benzin,opel,nein,2016-03-08 00:00:00,0,89343,2016-03-10 11:18:00
103395,103395,2016-03-10 18:50:27,BMW_735i,privat,Angebot,3900,test,limousine,2002,automatik,272,7er,150000,3,benzin,bmw,ja,2016-03-10 00:00:00,0,76228,2016-03-10 18:50:27
162399,162399,2016-03-28 05:36:17,Vito_Extra_lang_150ps,privat,Angebot,2300,test,bus,2003,manuell,150,vito,150000,4,benzin,mercedes_benz,nein,2016-03-28 00:00:00,0,33758,2016-03-28 08:37:53
256769,256769,2016-03-31 13:54:11,Biete_hier_einen_Mazda_626_GF_Limosine_zum_Kauf_an,privat,Angebot,750,control,limousine,1998,manuell,115,6_reihe,150000,4,benzin,mazda,ja,2016-03-31 00:00:00,0,26871,2016-03-31 14:40:00
328243,328243,2016-03-18 15:48:01,Wv_Passat_2005,privat,Angebot,2000,control,kombi,2005,manuell,0,passat,150000,0,diesel,volkswagen,nein,2016-03-18 00:00:00,0,50827,2016-04-05 22:18:57
338403,338403,2016-03-30 14:36:24,Citroën_C3_Pluriel_1.4_Exclusive__Leder__Klimaautomatik_,privat,Angebot,2790,control,cabrio,2005,manuell,73,c3,80000,7,benzin,citroen,nein,2016-03-30 00:00:00,0,53129,2016-03-30 15:43:10
3976,3976,2016-03-09 19:42:46,Astra_G_Edition_2000_2.0i_16V_Coupe,privat,Angebot,1250,test,coupe,2000,automatik,136,astra,150000,2,benzin,opel,nein,2016-03-09 00:00:00,0,14542,2016-03-21 02:44:51
36957,36957,2016-03-28 17:57:13,Audi_A3_1.6,privat,Angebot,2900,test,limousine,2001,manuell,102,a3,90000,8,benzin,audi,nein,2016-03-28 00:00:00,0,74206,2016-03-28 17:57:13
257558,257558,2016-04-03 15:44:45,Skoda_Fabia_1.2_HTP_Classic,privat,Angebot,2399,test,kleinwagen,2004,manuell,54,fabia,125000,9,benzin,skoda,nein,2016-04-03 00:00:00,0,47623,2016-04-03 15:44:45
72877,72877,2016-03-10 19:46:58,Volkswagen_golf_2,privat,Angebot,2699,control,coupe,1990,manuell,174,golf,125000,10,benzin,volkswagen,nein,2016-03-10 00:00:00,0,84166,2016-03-17 08:44:31
307056,307056,2016-03-31 14:47:39,Volkswagen_Bora_2.0_+TOP+AUTOMATIK+KLIMAAUTOMATIK+TÜV17+AHK,privat,Angebot,3000,control,limousine,2000,automatik,116,bora,100000,3,benzin,volkswagen,nein,2016-03-31 00:00:00,0,50678,2016-04-06 07:45:03
205862,205862,2016-03-09 20:51:02,Corsa_C_schwarz;_EZ06;_Klima;_Unfall,privat,Angebot,1250,test,kleinwagen,2006,manuell,80,corsa,150000,4,benzin,opel,ja,2016-03-09 00:00:00,0,95236,2016-03-12 08:16:07
130596,130596,2016-03-27 12:36:20,Opel_Mokka_1.6__Edition+Elektro_Paket_u._Winter_Paket,privat,Angebot,16845,test,suv,2015,manuell,116,andere,10000,2,benzin,opel,nein,2016-03-27 00:00:00,0,65439,2016-04-07 07:16:43
31051,31051,2016-03-24 07:56:55,Audi_a6_4f_2.7tdi_sline,privat,Angebot,7500,control,kombi,2005,manuell,179,golf,150000,5,diesel,audi,nein,2016-03-24 00:00:00,0,91126,2016-04-06 22:45:29
116252,116252,2016-03-30 09:41:49,Trabant_601_12V_26PS_Baujahr_1990_Original_Zustand,privat,Angebot,6480,control,limousine,1990,manuell,26,601,20000,1,benzin,trabant,nein,2016-03-30 00:00:00,0,7580,2016-04-06 23:46:22
122170,122170,2016-03-12 07:55:11,Renault_Clio_1.4_16V___TÜV_NEU!!,privat,Angebot,2500,control,kleinwagen,2003,manuell,98,clio,90000,3,benzin,renault,nein,2016-03-12 00:00:00,0,12053,2016-03-25 00:45:41
129983,129983,2016-03-24 07:37:01,BMW_318i,privat,Angebot,1599,control,cabrio,1994,automatik,116,3er,150000,6,benzin,bmw,nein,2016-03-24 00:00:00,0,23858,2016-03-25 17:45:08
157307,157307,2016-03-17 23:39:34,Volkswagen_Touran_1.4_TSI,privat,Angebot,14000,control,bus,2012,manuell,140,touran,70000,6,benzin,volkswagen,nein,2016-03-17 00:00:00,0,33154,2016-04-05 14:18:36
140028,140028,2016-03-23 11:52:36,BMW_335i_Limousine_//_Vollausstattung_//_gepflegt,privat,Angebot,21999,test,limousine,2007,automatik,306,3er,100000,12,benzin,bmw,nein,2016-03-23 00:00:00,0,90453,2016-04-01 16:19:07
90603,90603,2016-03-13 14:25:23,Familienauto_7_Sitzer,privat,Angebot,3950,test,bus,2005,manuell,125,zafira,100000,3,benzin,opel,nein,2016-03-13 00:00:00,0,35460,2016-04-06 07:16:56
60221,60221,2016-04-01 19:56:28,Wartburg_353_Polizei_Feuerwehr,privat,Angebot,4000,control,limousine,1984,manuell,0,golf,80000,7,benzin,sonstige_autos,nein,2016-04-01 00:00:00,0,37318,2016-04-05 16:45:48
363946,363946,2016-03-07 21:47:00,Verkaufe_golf_4_v5,privat,Angebot,2900,control,limousine,2000,manuell,150,golf,150000,0,benzin,volkswagen,nein,2016-03-07 00:00:00,0,94227,2016-04-06 02:45:59
157582,157582,2016-03-20 20:06:20,BMW_328_i_M_PAKET,privat,Angebot,4600,test,coupe,1993,manuell,0,3er,150000,6,benzin,bmw,nein,2016-03-20 00:00:00,0,65199,2016-04-06 03:17:24
58564,58564,2016-03-22 15:48:38,Sportwagen__TÜV_bis_Juni_2016._________1.6V,privat,Angebot,1200,control,limousine,2005,manuell,0,megane,150000,0,benzin,renault,nein,2016-03-22 00:00:00,0,80939,2016-04-06 05:45:05
316448,316448,2016-04-02 15:46:23,Touareg_7P_3_0l_V6_TDI_fast_Voll_Ausstattung_!!,privat,Angebot,13999,control,suv,2007,automatik,225,touareg,150000,2,diesel,volkswagen,nein,2016-04-02 00:00:00,0,44795,2016-04-02 15:46:23
182956,182956,2016-04-01 21:56:29,Audi_A4_Avant_2.0,privat,Angebot,6000,test,kombi,2005,manuell,131,a4,150000,2,benzin,audi,nein,2016-04-01 00:00:00,0,93437,2016-04-05 20:19:12
207237,207237,2016-03-22 16:59:14,Touran_2.0_TDI_Highline_136_PS,privat,Angebot,2300,test,kombi,2003,manuell,136,touran,150000,9,diesel,volkswagen,nein,2016-03-22 00:00:00,0,50933,2016-03-22 16:59:14
368277,368277,2016-03-26 10:52:18,Mazda_6_Kombi_2.0_Diesel_gruene_Plakette_TÜV_Neu_AHK,privat,Angebot,2950,test,kombi,2004,manuell,0,6_reihe,150000,8,diesel,mazda,nein,2016-03-26 00:00:00,0,45136,2016-03-31 05:16:22
259242,259242,2016-04-03 22:45:48,Volkswagen_New_Beetle_Cabriolet_2.0,privat,Angebot,10250,control,cabrio,2007,manuell,116,beetle,100000,4,benzin,volkswagen,nein,2016-04-03 00:00:00,0,79283,2016-04-05 23:46:14
313508,313508,2016-03-09 09:54:29,Opel_Corsa_B_Eco_mit_TÜV_bis_02/18,privat,Angebot,999,test,kleinwagen,1999,manuell,54,corsa,150000,2,benzin,opel,nein,2016-03-09 00:00:00,0,50127,2016-03-09 19:15:50
64924,64924,2016-03-15 09:53:11,Mercedes_Benz_SL_65_AMG_Blackseries_R231_von_innen_wie_aussen,privat,Angebot,99900,control,cabrio,2006,automatik,721,sl,100000,7,benzin,mercedes_benz,nein,2016-03-15 00:00:00,0,49635,2016-03-17 04:15:23
208759,208759,2016-03-24 15:55:20,Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,Angebot,5100,test,kombi,2006,manuell,140,passat,150000,12,diesel,volkswagen,nein,2016-03-24 00:00:00,0,44801,2016-03-26 01:17:43
370003,370003,2016-03-29 20:06:22,CORSA__CDX__16V__90_PS,privat,Angebot,1450,control,kleinwagen,1997,manuell,90,corsa,125000,1,benzin,opel,nein,2016-03-29 00:00:00,0,60488,2016-03-29 20:25:43
55274,55274,2016-03-28 15:59:39,Honda_Shuttle_2.3i_LS,privat,Angebot,1250,control,bus,2000,automatik,150,andere,150000,4,benzin,honda,nein,2016-03-28 00:00:00,0,46238,2016-04-06 20:46:57
365380,365380,2016-03-19 13:56:37,Volkswagen_Polo_1.4_Servo_Highline_Automatik_Klima_Sitzheiz,privat,Angebot,1350,test,kleinwagen,1998,automatik,60,polo,125000,9,benzin,volkswagen,nein,2016-03-19 00:00:00,0,10827,2016-04-04 18:18:14
229559,229559,2016-03-09 08:53:34,Saab_900ng_247ps_2.0t_9_3_umbau_tuev_04.17_auch_tausch_moeglich,privat,Angebot,2500,test,limousine,1996,manuell,247,900,150000,2,benzin,saab,nein,2016-03-09 00:00:00,0,91177,2016-03-09 10:40:31
269644,269644,2016-03-22 21:57:34,Ford_Focus,privat,Angebot,1350,control,limousine,1999,manuell,116,focus,150000,2,benzin,ford,nein,2016-03-22 00:00:00,0,25761,2016-04-04 17:47:47
179230,179230,2016-03-20 15:51:35,VW_Passat_35i_90PS_mit_AHK_ideal_als_Baustellenfahrzeug_!!!,privat,Angebot,500,control,kombi,1990,manuell,90,passat,150000,11,benzin,volkswagen,nein,2016-03-20 00:00:00,0,75239,2016-03-21 18:47:10
245198,245198,2016-04-04 14:43:28,"OPEL_OMEGA_2.2__""TÜV_03/2017""",privat,Angebot,1600,test,limousine,2000,manuell,147,omega,125000,3,benzin,opel,nein,2016-04-04 00:00:00,0,59077,2016-04-06 15:46:18
116667,116667,2016-03-27 16:50:44,Renault_Clio_/_1._Hand_/_Scheckheft_gepflegt,privat,Angebot,2450,test,kleinwagen,2004,manuell,75,clio,150000,10,benzin,renault,nein,2016-03-27 00:00:00,0,40885,2016-04-05 12:21:32
146737,146737,2016-04-02 16:41:15,Renault_Trafic_2.0_dCi_115_FAP_Passenger_Black_Edition,privat,Angebot,14299,control,kombi,2012,manuell,114,andere,90000,3,diesel,renault,nein,2016-04-02 00:00:00,0,10439,2016-04-06 15:17:58
307624,307624,2016-03-11 16:37:57,Mercedes_Benz_C_230_T_Elegance,privat,Angebot,9000,test,kombi,2006,manuell,204,c_klasse,125000,7,benzin,mercedes_benz,nein,2016-03-11 00:00:00,0,79585,2016-03-15 08:15:17
82627,82627,2016-03-09 10:51:27,Porsche_Cayenne_4_5l,privat,Angebot,11900,control,suv,2006,automatik,340,cayenne,150000,8,benzin,porsche,nein,2016-03-09 00:00:00,0,97070,2016-04-05 15:16:03
310145,310145,2016-03-05 21:50:39,VW_Touran_R_Line__Top_gepflegt,privat,Angebot,12900,test,bus,2007,automatik,170,touran,125000,9,benzin,volkswagen,nein,2016-03-05 00:00:00,0,1477,2016-03-12 00:46:23
3216,3216,2016-03-30 19:49:05,Alfa_Romeo_156_2.0_16V_Twin_Spark_RASSIG_SCHNELL_SCHÖN!!!,privat,Angebot,1899,test,limousine,2000,manuell,155,156,150000,5,benzin,alfa_romeo,nein,2016-03-30 00:00:00,0,22335,2016-04-07 11:45:36
31237,31237,2016-03-27 15:46:04,Volkswagen_Passat_Variant_2.0_TDI_BlueMotion_Technology,privat,Angebot,11900,control,kombi,2011,manuell,140,passat,125000,11,diesel,volkswagen,nein,2016-03-27 00:00:00,0,30851,2016-03-27 15:46:04
274842,274842,2016-04-04 17:52:12,Bmw_325i_coupe,privat,Angebot,11500,test,coupe,2007,manuell,218,3er,150000,2,benzin,bmw,nein,2016-04-04 00:00:00,0,42117,2016-04-06 19:48:15
250324,250324,2016-03-17 09:37:00,MINI_Mini_Cooper,privat,Angebot,4400,test,kleinwagen,2002,manuell,116,cooper,100000,5,benzin,mini,nein,2016-03-17 00:00:00,0,54516,2016-03-19 09:18:43
275364,275364,2016-03-10 17:39:17,Mercedes_Benz_B_180_CDI_DPF_Autotronic,privat,Angebot,9100,control,bus,2007,automatik,109,b_klasse,80000,6,diesel,mercedes_benz,nein,2016-03-10 00:00:00,0,63579,2016-03-12 07:46:02
258,258,2016-03-23 19:54:35,Opel_Corsa_MIT_TÜV__Geringer_Verbrauch__ALUFELGEN_!!!,privat,Angebot,500,control,kleinwagen,1999,manuell,56,corsa,150000,8,benzin,opel,nein,2016-03-23 00:00:00,0,32756,2016-03-23 19:54:35
254864,254864,2016-03-08 11:49:41,Opel_corsa,privat,Angebot,999,control,kleinwagen,1998,manuell,0,corsa,125000,7,benzin,opel,nein,2016-03-08 00:00:00,0,46325,2016-03-09 18:15:37
342837,342837,2016-04-03 19:54:58,Hyundai_Getz_1.1,privat,Angebot,3499,test,kleinwagen,2008,manuell,67,getz,40000,5,benzin,hyundai,nein,2016-04-03 00:00:00,0,88682,2016-04-05 20:45:31
255467,255467,2016-03-22 20:56:28,Peugeot_307_HDi_110_Tendance_Klima_Euro4_TÜV_NEU_1.Hand,privat,Angebot,4399,control,limousine,2006,manuell,109,3_reihe,125000,5,diesel,peugeot,nein,2016-03-22 00:00:00,0,44581,2016-03-28 13:16:12
341668,341668,2016-03-30 00:06:24,Volvo_V70_Typ_L_V_70_Leder_Klima_Automatic_TÜV_08/2017_TOP,privat,Angebot,1650,control,kombi,1997,automatik,170,v70,150000,12,benzin,volvo,nein,2016-03-29 00:00:00,0,60388,2016-04-04 13:47:17
284201,284201,2016-03-22 11:25:22,Mitsubishi_Evo_IX_wenig_KM_deutsches_Auto_spezial_Umbau,privat,Angebot,41899,test,coupe,2006,manuell,379,lancer,50000,2,benzin,mitsubishi,nein,2016-03-22 00:00:00,0,65582,2016-04-06 19:15:39
20303,20303,2016-03-19 10:49:52,BMW_X5_3d_Sportpaket_/_Keyless_/_Navi_Prof_/_Leder_/_Xenon,privat,Angebot,19990,test,suv,2007,automatik,235,x_reihe,125000,0,diesel,bmw,nein,2016-03-19 00:00:00,0,95028,2016-04-06 11:17:29
37572,37572,2016-03-24 12:57:54,BMW_535d_M_PAKET_INDIVIDUAL_VOLLAUSTATTUNG_19_BBS,privat,Angebot,30990,test,kombi,2012,automatik,313,5er,150000,8,diesel,bmw,nein,2016-03-24 00:00:00,0,2826,2016-04-07 04:45:42
248906,248906,2016-03-27 00:49:31,Golf_6_1.4TSI_67500km_gute_Ausstattung!,privat,Angebot,8250,test,limousine,2010,manuell,80,golf,70000,10,benzin,volkswagen,nein,2016-03-26 00:00:00,0,84036,2016-04-07 03:15:31
